"Panel Type","Plus Panel","Serial #","Shooting FW","WL Control FW","Logging FW","GUI SW","Surface Check FW","Received Date","XC Base","Panel Status","Unit#","Sales Order#","Date Updated","Tracking Info","Comments","Verified","RMA","Spare","Customer District","Operating Company","Customer","Updated By","Activity","Field View History of Panel ","Viewed Digital Shooting Panel","Viewed Surface Tester","Related Panel Records","Changes Summary",
"P1000","","201226-2v5","","187","","25.06","","2/19/2024","Denver","Leased","8101","","4/30/2026","","","Y","","N","TWG-Midland","Matador Resources Company","The Wireline Group","Austin English","","1684 , 1685","","","ncM6589uWZ4hqr7ZA0bJte , YXaY2HWVt-4hu8ghJGmV96 , wC9XvDqAHq4bukFqTIBORb , 3mVjpu3L334P21-DexFD_3","",
"P1000","","201222-2v5","","176","","20.2","","10/19/2023","Midland","Leased","NA","","4/2/2026","","***Sent back to XC Midland*** 04/01/2026","Y","","N","TIER-Oklahoma","Staghorn Petroleum II, LLC","Tier 1 Completions Solutions, Inc.","Robert Grissom","","","","","HzFhMAxq6i4T2Ca7kuO6Tf , IFhG4HIWe_4LaYLFBZkyV6 , sb9ExNvJua4EIEwY9urak2","",
"P1000","","210235-3v5","","184","","","","3/15/2024","Denver","In Repair","","","12/29/2025","","","Y","","","","","","Robert Grissom","","","","","_xQBSc_Xdq4qecukFHw7Ib , yekMyG072j4LIJvA--faX6 , spO-Eixpzl4wYFlaV1KkN9 , 9yTjYjN3Df4mE7D-wjO6Q2 , u3sfyWjqrP4c2urkxZc8G3 , cU-M0VM1y14Ei6Q8uGg74c , 9pWbj6iLU64TawM5R8V6V1","",
"P1000","","210545-4v5","","245","","25.08.1","","4/3/2024","Midland","Leased","2618","","12/15/2025","","","Y","","N","HWS-Victoria","ConocoPhillips","Horizontal Wireline Services","Theo Morris","","620 , 647 , 740","","","aYXihKW64t4sAuwifSHVod , QgLLDlb-s24Ymmcsw90uD9 , CaXEExVoPk4PeeYsi4K3b3 , l82RjKJTjV47i6F-OeKg68 , q2SdIWKTdo4s6fcoHbDzV0 , ywJsYHjJra45EdD6ifbb21 , JDWkUgh1VL4q6Eb8NeC9sa , Mjk-zdBlYF4hUPW9WsSxR1 , kULpDTI64o4tau-ngi-Gma , vGotevkqWZ4eMaR5IJEsMb","",
"P1000","","210232-3v5","","184","","25.06","","6/13/2023","Williston","Leased","507","","6/19/2025","","Updated to FW184","Y","","N","SRF-Williston","Continental Resources","Surefire Wireline West, LLC","","","","","","Y278-aT2XO4IMCwB1uU4pf","",
"P1000","","220652-4v5","","166","","","","2/8/2024","Williston","In Repair","","","4/5/2024","https://www.fedex.com/fedextrack/?trknbr=775123509918&trkqual=2460349000~775123509918~FX","Sent to Hasan","N","","","","","","","","","","","","",
"P2000","","240247-1v3","","189","7.2","26.02","","4/26/2024","Midland","Leased","2117","","5/26/2026","","","Y","","N","TIER-Oklahoma","Upland Energy Inc","Tier 1 Completions Solutions, Inc.","Larry Beaver","","1176 , 1178 , 1725 , 1738 , 1756","","","khHbF9n_-r4weDMLBFtSxc , _Zrn7gmuMB4Y2DP1OOYKpb , 1MnO_Xmb1J4WEiNE2bvlW5 , Tizsg2dBPl42uSODZkuUY5 , 3w_ks2-vnb4V6wAECIgP2f , 5iw9KstEe_4iIU1W5wfAn4 , 1B8tmzh4wX4kUwYGu2cZs6 , ydmgkf_CXF4f60NamoJw66 , bD3ixX2qSK4Lm5vcWSDrD9","",
"P2000","","230634-1v2","","189","7.2","25.12","","12/12/2025","Williston","Leased","Shop","","5/26/2026","","","Y","","N","GOW-Williston","Shop","Go Wireline LLC","Martin Aguilar","","","","","zSoaN-Y9NO4Su1-pRwrpJ9 , Uj6yUY3WkE47Icg4V1fGJ5 , qspCNhsqPE4fM6xT_splD3 , F081kIccAT4PeCuKq_aeA2 , fcgYNnu8rL46i8pMAjFmhe , fwSmo_hndp4IAjZHi8oFG0","",
"P2000","","220504-1v1","","189","7.2","25.12","","10/30/2025","Williston","Leased","149","","5/26/2026","","","Y","","N","GOW-Williston","Shop","Go Wireline LLC","Martin Aguilar","N","1439 , 1631","","","WCM8gbzwlq4yYbaAxtwf75 , bJqtUPDKpv4yau6cEHGVq5 , YSXZCe9mB54CM7ZXcXMCe5 , argSjmbr-w4AU_1qVnZhcc , 4qOjwHX7_P4CmbgOrT4TQ3 , kFEb3R52hp4imtL7o75NBd , 0L1AVsnMCp4TuJE4236tI4 , _aLsCijQgC4nuV3dG5wp-c , Fnyya-rmRO4PirkuCW9F4f","",
"P2000","","230631-1v2","","189","7.2","26.02","","5/25/2026","Williston","Leased","508","","5/25/2026","","","Y","","N","SRF-Williston","Continental Resources","Surefire Wireline West, LLC","Martin Aguilar","","","","","G3KKqdb1MI4Ia6oamKkXH4 , _wRAMvcS7n4ZQE5dsluxD2 , PLxaHCmAcJ4tmXCNRqG953 , S0roSPLfga4Z24p3Gp0yXc","",
"P2000","","230521-1v2","","189","7.2","25.12","","8/25/2025","Williston","Leased","391","","5/25/2026","","","Y","","N","GOW-Williston","Shop","Go Wireline LLC","Martin Aguilar","N","1367 , 1630 , 1713","","","EVPkMsi_Sd4S2V2mAmypt3 , Xb3duGyZ8l4nI7GMpNa7-c , eGgUct7Gp74Ti1pnihXvC3 , SYOupnUXgj4iaROK1lQsD2 , ppz3fs05AB4jAD3H0axBoa , gtMT-1k9j84tqdBUY7Os74 , jzF_wqpK7W4EiCbppLdKg5 , z3DL1Batzp4DqUwRRof26b , NVQwQ4vNfi4pmvvjqsHiU2 , WBCfJAI5mH4A2Pi_9R3Wn7 , qYP1SXu-QM4K6OgtLFLTf6","",
"P2000","","240244-1v3","","189","7.2","26.02","","5/8/2024","Williston","Leased","2120","","5/24/2026","","","Y","","Y","TIER-Oklahoma","Coronado Oil Company","Tier 1 Completions Solutions, Inc.","Larry Beaver","N","1742 , 1743 , 1747","","","yU6Ji-hf_Z4t6dNmDndZT2 , CgbKtbBGS_49M36XGm1R59 , 85dK0Am1-U4WYCEW_RxWAa , 1vwj0F0HwA4xQBNbxYBOcf , rmY_41-RLJ4KIXtYitYtOb , bqj-ntBcyP4Tq_lSx0SmF2 , urw8TDQs7l4cIOs82uZdr0","",
"P2000","","240142-1v3","","187","7.2","26.02","","3/13/2024","Midland","Leased","2112","","5/21/2026","","","Y","","N","TIER-Midland","Circle-S Energy, LLC","Tier 1 Completions Solutions, Inc.","Eric Williams","","1357 , 1736","","","CJrq0PWS-Z4HYdWpFD2-Y3 , UIrMZL00jj4Hen8uVS7ts6 , xeCoyXInTD4_eLaLNREvA5 , LDuzjCpTgU4hQ9mM3RNPVe , pWmQIwehik4q2TT_aNcb85 , wxkbr3oBk14cIWOe7A0uB1","",
"P2000","","240141-1v3","","187","7.2","","","4/5/2024","Midland","At Facility","","","5/13/2026","","In test rack at shop","Y","","","","","","Eric Williams","","1430","","","z4zeiX8WcU4lEfp9LwWU2d , MFi6kZlHqv4Na7LnyiE4Uc , m_Cs5sD9Lm4E6xbD-5ID8a , b_4gH7A4Aj4tU6EnpRM5gb , tuH52CJWLh4_U7PTTJRze6 , QAQwz-rosB4kA4bZk3FA3c , PNdH3cCT5S4uijuh8-H5Nf , 9aZT75SrV04FQainpPeRW7 , tNSfaRda_v4uqL0XdHOPed , SFFs0n59ze4QegHDvPCAX5 , 34Dfku-1ap4kiJCx80xaJf , 6lWgaVtSlG4v2LFAuqom1b , bu02Y7qhZA4_2QvJt_r7S9 , yjwvs2Z8GH4Oq8xL7Kv-i5","",
"P2000","","231236-1v3","","187","7.2","26.02","","1/31/2024","Midland","Leased","8050","","5/4/2026","","","Y","","N","TWG-Grand Junction","Not Specified","The Wireline Group","Robert Grissom","","","","","IpazABMJVP4XIEybRgUYZa , 0gFne9aoh24fekoCbKaic2","",
